"","participant_id","topic_id","url","timestamp","timestamp_original"
"1","P01","111","http://momhealthcare.com/use-pregnancy-supplement-on-your-path-to-being-parent/",2026-03-11 20:42:08.929863,1773261728.92986
"2","P01","111","https://engineeringevil.com/2012/10/08/zinc-supplements-during-pregnancy-may-counteract-damage-from-early-alcohol-exposure/",2026-03-11 20:42:34.416234,1773261754.41623
"3","P01","111","https://link.springer.com/article/10.1186%2Fs12884-019-2258-y",2026-03-11 20:42:58.02442,1773261778.02442
"4","P01","111","https://healthjade.com/zinc/",2026-03-11 20:43:15.196167,1773261795.19617
"5","P01","112","https://elmaskincare.com/h_menu/evening_primrose_oil.htm",2026-03-11 20:47:07.181152,1773262027.18115
"6","P01","112","http://www.safesupplements.co.uk/how-can-evening-primrose-oil-benefit-skin.html",2026-03-11 20:47:24.747419,1773262044.74742
"7","P01","117","https://my.clevelandclinic.org/health/articles/4249-hypertension-and-nutrition",2026-03-11 20:48:17.872971,1773262097.87297
"8","P01","117","https://mylowerbloodpressure.com/kefir-and-high-blood-pressure",2026-03-11 20:49:18.970659,1773262158.97066
"9","P01","132","https://www.medicalnewstoday.com/articles/247789.php",2026-03-11 20:50:03.675279,1773262203.67528
"10","P02","111","https://www.babycenter.com/0_zinc-in-your-pregnancy-diet_673.bc",2026-03-12 09:56:34.157457,1773309394.15746
"11","P02","111","https://www.drugs.com/pregnancy/zinc-sulfate.html",2026-03-12 09:57:24.921947,1773309444.92195
"12","P02","111","http://www.queentulip.com/2014/01/disadvantages-and-side-effects-of.html",2026-03-12 09:58:23.187259,1773309503.18726
"13","P02","117","https://connect.mayoclinic.org/discussion/keeping-my-blood-pressure-low/",2026-03-12 10:05:01.195968,1773309901.19597
"14","P02","117","http://www.health.am/hypertension/more/fermented_milk_drink_reduces_high_blood_pressure/index.xml",2026-03-12 10:05:36.822872,1773309936.82287
"15","P02","132","https://www.epainassist.com/articles/wonders-of-steam-inhalation",2026-03-12 10:06:46.506927,1773310006.50693
"16","P03","111","https://natural-fertility-info.com/supplement-alert-think-zinc-for-fertility.html",2026-03-12 10:03:15.134322,1773309795.13432
"17","P03","111","https://www.drugs.com/pregnancy/zinc-sulfate.html",2026-03-12 10:03:52.500927,1773309832.50093
"18","P03","111","https://www.ncbi.nlm.nih.gov/pubmed/19547932",2026-03-12 10:04:31.044914,1773309871.04491
"19","P03","111","https://www.emedicinehealth.com/drug-zinc_sulfate/article_em.htm",2026-03-12 10:05:37.658299,1773309937.6583
"20","P03","111","https://www.drugs.com/pregnancy/zinc-sulfate.html",2026-03-12 10:06:14.683443,1773309974.68344
"21","P03","112","http://www.minddisorders.com/Del-Fi/Evening-primrose-oil.html",2026-03-12 10:07:09.350931,1773310029.35093
"22","P03","112","https://essentialoilexperts.com/evening-primrose-oil/",2026-03-12 10:07:48.550219,1773310068.55022
"23","P03","112","https://essentialoilexperts.com/evening-primrose-oil/",2026-03-12 10:08:11.394824,1773310091.39482
"24","P03","112","https://health.howstuffworks.com/wellness/natural-medicine/alternative/evening-primrose-oil1.htm",2026-03-12 10:08:43.915746,1773310123.91575
"25","P03","117","http://www.health.am/hypertension/more/fermented_milk_drink_reduces_high_blood_pressure/index.xml",2026-03-12 10:09:46.950788,1773310186.95079
"26","P03","117","https://www.oatext.com/Fermented-milk-derives-bioactive-peptides-with-antihypertensive-effects.php",2026-03-12 10:10:37.874191,1773310237.87419
"27","P03","117","http://www.greenmedinfo.com/article/ingestion-milk-fermented-l-helveticus-compared-placebo-12-weeks-lowered-heart-",2026-03-12 10:11:45.763534,1773310305.76353
"28","P03","117","https://www.frontiersin.org/articles/10.3389/fmicb.2019.00458/full",2026-03-12 10:12:31.509363,1773310351.50936
"29","P03","132","https://www.healthline.com/health/steam-inhalation",2026-03-12 10:14:27.327071,1773310467.32707
"30","P04","111","https://www.babycenter.com/0_zinc-in-your-pregnancy-diet_673.bc",2026-03-21 19:33:47.073348,1774121627.07335
"31","P04","112","https://wholehealthchicago.com/2009/05/12/evening-primrose-oil/",2026-03-21 19:35:56.425881,1774121756.42588
"32","P04","117","http://www.health.am/hypertension/more/fermented_milk_drink_reduces_high_blood_pressure/index.xml",2026-03-21 19:38:00.597783,1774121880.59778
"33","P04","117","https://mylowerbloodpressure.com/kefir-and-high-blood-pressure",2026-03-21 19:38:08.941614,1774121888.94161
"34","P04","132","https://www.healthline.com/health/steam-inhalation",2026-03-21 19:39:09.837981,1774121949.83798
"35","P04","132","https://www.epainassist.com/articles/wonders-of-steam-inhalation",2026-03-21 19:39:22.650026,1774121962.65003
"36","P05","111","https://www.babycenter.com/0_zinc-in-your-pregnancy-diet_673.bc",2026-03-14 10:41:10.306046,1773484870.30605
"37","P05","112","https://elmaskincare.com/h_menu/evening_primrose_oil.htm",2026-03-14 10:43:22.481671,1773485002.48167
"38","P05","112","https://wholehealthchicago.com/2009/05/12/evening-primrose-oil/",2026-03-14 10:43:37.760508,1773485017.76051
"39","P05","117","http://www.health.am/hypertension/more/fermented_milk_drink_reduces_high_blood_pressure/index.xml",2026-03-14 10:46:44.889874,1773485204.88987
"40","P05","132","https://www.healthline.com/health/steam-inhalation",2026-03-14 10:50:32.390325,1773485432.39033
"41","P06","111","https://www.babymed.com/tag/pregnancy-supplements",2026-03-12 13:05:00.17886,1773320700.17886
"42","P06","111","https://www.babycenter.com/0_zinc-in-your-pregnancy-diet_673.bc",2026-03-12 13:05:12.918773,1773320712.91877
"43","P06","111","http://momhealthcare.com/use-pregnancy-supplement-on-your-path-to-being-parent/",2026-03-12 13:05:32.144413,1773320732.14441
"44","P06","111","https://natural-fertility-info.com/supplement-alert-think-zinc-for-fertility.html",2026-03-12 13:05:47.966184,1773320747.96618
"45","P06","112","https://elmaskincare.com/h_menu/evening_primrose_oil.htm",2026-03-12 13:06:51.092782,1773320811.09278
"46","P06","112","https://elmaskincare.com/h_menu/evening_primrose_oil.htm",2026-03-12 13:06:56.224868,1773320816.22487
"47","P06","112","https://nccih.nih.gov/health/eveningprimrose",2026-03-12 13:07:04.469835,1773320824.46984
"48","P06","117","http://www.health.am/hypertension/more/fermented_milk_drink_reduces_high_blood_pressure/index.xml",2026-03-12 13:08:07.383332,1773320887.38333
"49","P06","117","https://www.medicalnewstoday.com/articles/307511.php",2026-03-12 13:08:32.557502,1773320912.5575
"50","P06","132","https://www.epainassist.com/articles/wonders-of-steam-inhalation",2026-03-12 13:09:30.035322,1773320970.03532
"51","P07","111","https://www.babymed.com/tag/pregnancy-supplements",2026-03-12 16:05:52.132227,1773331552.13223
"52","P07","111","https://www.babycenter.com/0_zinc-in-your-pregnancy-diet_673.bc",2026-03-12 16:06:04.131111,1773331564.13111
"53","P07","112","https://elmaskincare.com/h_menu/evening_primrose_oil.htm",2026-03-12 16:08:02.918366,1773331682.91837
"54","P07","112","https://www.ayurtimes.com/evening-primrose-oil/",2026-03-12 16:08:18.329477,1773331698.32948
"55","P07","117","http://www.health.am/hypertension/more/fermented_milk_drink_reduces_high_blood_pressure/index.xml",2026-03-12 16:11:10.479266,1773331870.47927
"56","P07","117","http://www.greenmedinfo.com/article/ingestion-milk-fermented-l-helveticus-compared-placebo-12-weeks-lowered-heart-",2026-03-12 16:11:37.77492,1773331897.77492
"57","P07","117","https://mylowerbloodpressure.com/kefir-and-high-blood-pressure",2026-03-12 16:12:37.734221,1773331957.73422
"58","P07","132","https://www.healthline.com/health/steam-inhalation",2026-03-12 16:14:32.542577,1773332072.54258
"59","P07","132","https://topwellnesslife.com/1374-2",2026-03-12 16:14:47.822735,1773332087.82273
"60","P07","132","https://topwellnesslife.com/1374-2",2026-03-12 16:15:44.775347,1773332144.77535
"61","P07","132","https://www.epainassist.com/articles/wonders-of-steam-inhalation",2026-03-12 16:15:48.885694,1773332148.88569
"62","P08","111","https://www.babycenter.com/0_zinc-in-your-pregnancy-diet_673.bc",2026-03-12 13:55:52.403629,1773323752.40363
"63","P08","112","http://www.safesupplements.co.uk/how-can-evening-primrose-oil-benefit-skin.html",2026-03-12 13:56:51.536434,1773323811.53643
"64","P08","112","https://wholehealthchicago.com/2009/05/12/evening-primrose-oil/",2026-03-12 13:57:22.35244,1773323842.35244
"65","P08","112","https://elmaskincare.com/h_menu/evening_primrose_oil.htm",2026-03-12 13:57:28.433687,1773323848.43369
"66","P08","112","http://www.safesupplements.co.uk/how-can-evening-primrose-oil-benefit-skin.html",2026-03-12 13:57:42.946121,1773323862.94612
"67","P08","117","https://www.medicalnewstoday.com/articles/307511.php",2026-03-12 13:58:41.525987,1773323921.52599
"68","P08","132","https://www.epainassist.com/articles/wonders-of-steam-inhalation",2026-03-12 13:59:26.088282,1773323966.08828
"69","P09","111","https://engineeringevil.com/2012/10/08/zinc-supplements-during-pregnancy-may-counteract-damage-from-early-alcohol-exposure/",2026-03-13 13:40:29.048751,1773409229.04875
"70","P09","111","https://psmag.com/social-justice/zinc-during-pregnancy-can-reduce-alcohols-ills-3933",2026-03-13 13:40:38.890694,1773409238.89069
"71","P09","111","https://americanpregnancy.org/pregnancy-health/nutrients-vitamins-pregnancy/",2026-03-13 13:41:06.788038,1773409266.78804
"72","P09","111","https://www.drugs.com/pregnancy/zinc-sulfate.html",2026-03-13 13:41:37.063884,1773409297.06388
"73","P09","112","https://nccih.nih.gov/health/eveningprimrose",2026-03-13 13:42:18.657574,1773409338.65757
"74","P09","112","https://www.rxmed.com/herbal/evening-primrose-oil",2026-03-13 13:42:52.825356,1773409372.82536
"75","P09","112","http://www.safesupplements.co.uk/how-can-evening-primrose-oil-benefit-skin.html",2026-03-13 13:43:07.843441,1773409387.84344
"76","P09","117","https://my.clevelandclinic.org/health/articles/4249-hypertension-and-nutrition",2026-03-13 13:43:57.910542,1773409437.91054
"77","P09","117","http://www.greenmedinfo.com/substance/milk-fermented",2026-03-13 13:44:12.072575,1773409452.07258
"78","P09","117","http://www.greenmedinfo.com/substance/milk-fermented",2026-03-13 13:44:20.485176,1773409460.48518
"79","P09","117","http://time.com/3706156/naturally-reduce-blood-pressure/",2026-03-13 13:44:32.256281,1773409472.25628
"80","P09","117","http://www.greenmedinfo.com/article/ingestion-milk-fermented-l-helveticus-compared-placebo-12-weeks-lowered-heart-",2026-03-13 13:44:45.655034,1773409485.65503
"81","P09","132","https://www.healthline.com/health/steam-inhalation",2026-03-13 13:46:07.639445,1773409567.63944
"82","P10","112","https://nccih.nih.gov/health/eveningprimrose",2026-03-15 12:29:21.98077,1773577761.98077
"83","P11","111","https://www.babymed.com/tag/pregnancy-supplements",2026-03-17 07:40:01.392335,1773733201.39233
"84","P11","111","https://www.babycenter.com/0_zinc-in-your-pregnancy-diet_673.bc",2026-03-17 07:40:13.508127,1773733213.50813
"85","P11","111","https://www.ncbi.nlm.nih.gov/pubmed/?term=Role+of+magnesium%2C+coenzyme+Q10%2C+riboflavin%2C+and+vitamin+B12+in+migraine+prophylaxis",2026-03-17 07:41:20.70217,1773733280.70217
"86","P11","111","https://power-surge.co/tag/fertility/",2026-03-17 07:41:36.362188,1773733296.36219
"87","P11","111","https://www.drugs.com/mtm/zinc-sulfate.html",2026-03-17 07:41:56.094501,1773733316.0945
"88","P11","112","http://www.safesupplements.co.uk/how-can-evening-primrose-oil-benefit-skin.html",2026-03-17 07:43:06.738725,1773733386.73873
"89","P11","117","http://www.health.am/hypertension/more/fermented_milk_drink_reduces_high_blood_pressure/index.xml",2026-03-17 07:44:29.090728,1773733469.09073
"90","P11","132","https://www.epainassist.com/articles/wonders-of-steam-inhalation",2026-03-17 07:47:50.258876,1773733670.25888
"91","P12","111","https://engineeringevil.com/2012/10/08/zinc-supplements-during-pregnancy-may-counteract-damage-from-early-alcohol-exposure/",2026-03-16 16:05:40.709118,1773677140.70912
"92","P12","111","https://engineeringevil.com/2012/10/08/zinc-supplements-during-pregnancy-may-counteract-damage-from-early-alcohol-exposure/",2026-03-16 16:07:02.350871,1773677222.35087
"93","P12","111","https://www.babymed.com/tag/pregnancy-supplements",2026-03-16 16:07:15.77511,1773677235.77511
"94","P12","111","https://www.babycenter.com/0_zinc-in-your-pregnancy-diet_673.bc",2026-03-16 16:09:15.167185,1773677355.16719
"95","P12","112","https://www.healthline.com/health/evening-primrose-oil-menopause",2026-03-16 16:11:41.415424,1773677501.41542
"96","P12","112","https://elmaskincare.com/h_menu/evening_primrose_oil.htm",2026-03-16 16:12:40.540553,1773677560.54055
"97","P12","112","http://www.greenfootsteps.com/what-is-evening-primrose-oil.html",2026-03-16 16:13:16.071551,1773677596.07155
"98","P12","112","http://www.greenfootsteps.com/what-is-evening-primrose-oil.html",2026-03-16 16:14:46.519275,1773677686.51927
"99","P12","112","https://health.howstuffworks.com/wellness/natural-medicine/alternative/evening-primrose-oil1.htm",2026-03-16 16:14:52.311022,1773677692.31102
"100","P12","117","http://www.health.am/hypertension/more/fermented_milk_drink_reduces_high_blood_pressure/index.xml",2026-03-16 16:16:07.075421,1773677767.07542
"101","P12","117","https://www.medicalnewstoday.com/articles/307511.php",2026-03-16 16:16:20.399018,1773677780.39902
"102","P12","117","http://www.greenmedinfo.com/article/ingestion-milk-fermented-l-helveticus-compared-placebo-12-weeks-lowered-heart-",2026-03-16 16:16:40.420643,1773677800.42064
"103","P12","132","https://www.epainassist.com/articles/wonders-of-steam-inhalation",2026-03-16 16:17:31.059363,1773677851.05936
